	loss	tp	fp	tn	fn	accuracy	precision	recall	auc	prc	val_loss	val_tp	val_fp	val_tn	val_fn	val_accuracy	val_precision	val_recall	val_auc	val_prc
0	0.37042734026908875	85.0	99.0	2364.0	322.0	0.8533101081848145	0.46195653080940247	0.20884521305561066	0.775819718837738	0.3648475110530853	0.46493789553642273	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.7548062801361084	0.36377090215682983
1	0.3149770498275757	118.0	110.0	2353.0	289.0	0.8609756231307983	0.5175438523292542	0.28992629051208496	0.8423618078231812	0.43386074900627136	0.6339497566223145	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.5	0.142259418964386
2	0.30839744210243225	116.0	100.0	2363.0	291.0	0.8637630939483643	0.5370370149612427	0.28501227498054504	0.846710205078125	0.4525300860404968	0.8617406487464905	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.5	0.142259418964386
3	0.30071595311164856	142.0	109.0	2354.0	265.0	0.8696864247322083	0.5657370686531067	0.3488943576812744	0.8577522039413452	0.4904187321662903	0.5672115683555603	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.8663238883018494	0.5894204378128052
4	0.2909795045852661	155.0	110.0	2353.0	252.0	0.8738675713539124	0.5849056839942932	0.3808353841304779	0.8640308976173401	0.5263180136680603	0.44118109345436096	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.9050772786140442	0.671539306640625
5	0.27985262870788574	179.0	107.0	2356.0	228.0	0.8832752704620361	0.6258741021156311	0.43980345129966736	0.8772531151771545	0.5593929290771484	0.2565512955188751	39.0	10.0	605.0	63.0	0.8981868624687195	0.795918345451355	0.38235294818878174	0.91593337059021	0.6774142384529114
6	0.26665061712265015	180.0	88.0	2375.0	227.0	0.8902438879013062	0.6716417670249939	0.4422604441642761	0.888338029384613	0.6070729494094849	0.2779003977775574	38.0	10.0	605.0	64.0	0.8967921733856201	0.7916666865348816	0.37254902720451355	0.9109755754470825	0.6609822511672974
7	0.26596346497535706	197.0	109.0	2354.0	210.0	0.8888501524925232	0.6437908411026001	0.48402947187423706	0.8844904899597168	0.6032074689865112	0.2552790343761444	46.0	17.0	598.0	56.0	0.8981868624687195	0.7301587462425232	0.45098039507865906	0.9116212725639343	0.6744922995567322
8	0.2597244381904602	188.0	88.0	2375.0	219.0	0.8930313587188721	0.6811594367027283	0.4619164764881134	0.8883674740791321	0.6249235272407532	0.24916693568229675	50.0	13.0	602.0	52.0	0.909344494342804	0.7936508059501648	0.4901960790157318	0.9164513945579529	0.6907967329025269
9	0.2662971019744873	193.0	105.0	2358.0	214.0	0.8888501524925232	0.6476510167121887	0.4742014706134796	0.884289026260376	0.5886639356613159	0.28665050864219666	30.0	4.0	611.0	72.0	0.8940027952194214	0.8823529481887817	0.29411765933036804	0.8951697945594788	0.6606280207633972
10	0.24942658841609955	225.0	106.0	2357.0	182.0	0.8996515870094299	0.6797583103179932	0.5528255701065063	0.8969321250915527	0.6352963447570801	0.24715809524059296	50.0	11.0	604.0	52.0	0.9121338725090027	0.8196721076965332	0.4901960790157318	0.8990992903709412	0.6991456747055054
11	0.25055500864982605	218.0	90.0	2373.0	189.0	0.902787446975708	0.7077922224998474	0.5356265306472778	0.8924964070320129	0.6431484222412109	0.27198541164398193	63.0	27.0	588.0	39.0	0.9079498052597046	0.699999988079071	0.6176470518112183	0.8915191888809204	0.6421241164207458
12	0.24253255128860474	224.0	98.0	2365.0	183.0	0.9020906090736389	0.695652186870575	0.5503685474395752	0.903397798538208	0.6531504392623901	0.4273372292518616	4.0	0.0	615.0	98.0	0.8633193969726562	1.0	0.03921568766236305	0.8145942687988281	0.5893745422363281
13	0.2523902654647827	204.0	93.0	2370.0	203.0	0.896864116191864	0.6868686676025391	0.5012285113334656	0.8923338055610657	0.6366899013519287	0.28929373621940613	80.0	41.0	574.0	22.0	0.9121338725090027	0.6611570119857788	0.7843137383460999	0.9207237362861633	0.7213418483734131
14	0.24695780873298645	221.0	111.0	2352.0	186.0	0.8965156674385071	0.6656626462936401	0.5429975390434265	0.9021703004837036	0.6300367712974548	0.27894312143325806	66.0	36.0	579.0	36.0	0.8995816111564636	0.6470588445663452	0.6470588445663452	0.8964211940765381	0.6546461582183838
15	0.24640649557113647	221.0	103.0	2360.0	186.0	0.899303138256073	0.6820987462997437	0.5429975390434265	0.9025319218635559	0.647921621799469	0.2288784235715866	56.0	15.0	600.0	46.0	0.9149233102798462	0.7887324094772339	0.5490196347236633	0.9193208813667297	0.7368900775909424
16	0.23787516355514526	222.0	90.0	2373.0	185.0	0.904181182384491	0.7115384340286255	0.5454545617103577	0.9078658819198608	0.6797658205032349	0.3973815441131592	7.0	0.0	615.0	95.0	0.8675034642219543	1.0	0.06862745434045792	0.8834928274154663	0.6968622207641602
17	0.2336231768131256	233.0	94.0	2369.0	174.0	0.9066202044487	0.7125382423400879	0.5724815726280212	0.9107897877693176	0.6690407395362854	0.2177588790655136	56.0	13.0	602.0	46.0	0.9177126884460449	0.8115941882133484	0.5490196347236633	0.9178383946418762	0.782425045967102
18	0.23663723468780518	237.0	86.0	2377.0	170.0	0.9108014106750488	0.7337461113929749	0.5823096036911011	0.9075057506561279	0.6821693778038025	0.2195708304643631	60.0	14.0	601.0	42.0	0.9218968152999878	0.8108108043670654	0.5882353186607361	0.9265024662017822	0.7285460829734802
19	0.2365521490573883	226.0	85.0	2378.0	181.0	0.9073171019554138	0.7266880869865417	0.5552825331687927	0.9069386720657349	0.679792582988739	0.3320263624191284	87.0	51.0	564.0	15.0	0.9079498052597046	0.6304348111152649	0.8529411554336548	0.9333173632621765	0.739743173122406
20	0.23103301227092743	237.0	93.0	2370.0	170.0	0.9083623886108398	0.7181817889213562	0.5823096036911011	0.9144517779350281	0.695560872554779	0.2321016490459442	52.0	10.0	605.0	50.0	0.9163179993629456	0.8387096524238586	0.5098039507865906	0.9167543649673462	0.771284818649292
21	0.22943896055221558	229.0	93.0	2370.0	178.0	0.9055749177932739	0.7111801505088806	0.5626535415649414	0.916071355342865	0.6911785006523132	0.21797050535678864	72.0	28.0	587.0	30.0	0.9191073775291443	0.7200000286102295	0.7058823704719543	0.9324167370796204	0.7606702446937561
22	0.2235933393239975	245.0	92.0	2371.0	162.0	0.9114982485771179	0.7270029783248901	0.601965606212616	0.9197748899459839	0.7136308550834656	0.26402994990348816	35.0	3.0	612.0	67.0	0.9023709893226624	0.9210526347160339	0.343137264251709	0.8993384838104248	0.7515988945960999
23	0.23977451026439667	219.0	92.0	2371.0	188.0	0.9024389982223511	0.7041800618171692	0.538083553314209	0.911059558391571	0.6705201864242554	0.2118593454360962	75.0	27.0	588.0	27.0	0.9246861934661865	0.7352941036224365	0.7352941036224365	0.9439024329185486	0.7855587005615234
24	0.22601929306983948	245.0	94.0	2369.0	162.0	0.9108014106750488	0.7227138876914978	0.601965606212616	0.9167836904525757	0.7072591781616211	0.2682276666164398	25.0	1.0	614.0	77.0	0.8912134170532227	0.9615384340286255	0.2450980395078659	0.9200701713562012	0.763856053352356
25	0.23537231981754303	228.0	86.0	2377.0	179.0	0.907665491104126	0.7261146306991577	0.560196578502655	0.9116117358207703	0.6773980259895325	0.25861552357673645	83.0	45.0	570.0	19.0	0.9107391834259033	0.6484375	0.813725471496582	0.938267171382904	0.7774875164031982
26	0.22198958694934845	248.0	85.0	2378.0	159.0	0.9149825572967529	0.7447447180747986	0.6093366146087646	0.9246829152107239	0.7025642395019531	0.26580536365509033	28.0	0.0	615.0	74.0	0.8967921733856201	1.0	0.27450981736183167	0.9078750014305115	0.773842990398407
27	0.21674035489559174	246.0	80.0	2383.0	161.0	0.9160279035568237	0.754601240158081	0.6044226288795471	0.9262136220932007	0.7174277305603027	0.2996433973312378	34.0	1.0	614.0	68.0	0.9037656784057617	0.9714285731315613	0.3333333432674408	0.9337239861488342	0.8094460964202881
28	0.22392433881759644	242.0	92.0	2371.0	165.0	0.9104529619216919	0.7245509028434753	0.5945945978164673	0.9250549674034119	0.6915838122367859	0.23614899814128876	55.0	11.0	604.0	47.0	0.9191073775291443	0.8333333134651184	0.5392156839370728	0.9232982397079468	0.7704590559005737
29	0.2174033522605896	237.0	85.0	2378.0	170.0	0.911149799823761	0.7360248565673828	0.5823096036911011	0.9287548661231995	0.7058493494987488	0.25070375204086304	57.0	13.0	602.0	45.0	0.9191073775291443	0.8142856955528259	0.5588235259056091	0.9039932489395142	0.72812819480896
