metric	value
loss	0.4448907673358917
tp	105.0
fp	125.0
tn	644.0
fn	23.0
accuracy	0.8350055813789368
precision	0.45652174949645996
recall	0.8203125
auc	0.9137932658195496
prc	0.6219534873962402
