metric	value
loss	0.4702661335468292
tp	103.0
fp	128.0
tn	641.0
fn	24.0
accuracy	0.8303571343421936
precision	0.4458874464035034
recall	0.8110235929489136
auc	0.8738622069358826
prc	0.5093980431556702
