metric	value
loss	0.3530392348766327
tp	45.0
fp	45.0
tn	724.0
fn	82.0
accuracy	0.8582589030265808
precision	0.5
recall	0.35433071851730347
auc	0.8331865072250366
prc	0.4232965111732483
