metric	value
loss	1.7164191007614136
tp	107.0
fp	320.0
tn	450.0
fn	20.0
accuracy	0.6209587454795837
precision	0.2505854666233063
recall	0.8425197005271912
auc	0.7779936790466309
prc	0.34102416038513184
