metric	value
loss	0.4792628586292267
tp	114.0
fp	160.0
tn	609.0
fn	14.0
accuracy	0.8060200810432434
precision	0.41605839133262634
recall	0.890625
auc	0.9128891229629517
prc	0.7122471332550049
