metric	value
accuracy	0.9091609120368958
auc	0.7808013558387756
f1	0.39175257536211755
fn	66.0
fp	52.0
loss	0.26718422770500183
prc	0.3794529139995575
precision	0.42222222685813904
recall	0.36538460850715637
tn	1143.0
tp	38.0
