metric	value
loss	0.6368921399116516
tp	108.0
fp	108.0
tn	661.0
fn	19.0
accuracy	0.8582589030265808
precision	0.5
recall	0.8503937125205994
auc	0.8993630409240723
prc	0.6088042259216309
