metric	value
loss	0.43483200669288635
tp	64.0
fp	33.0
tn	737.0
fn	63.0
accuracy	0.8929765820503235
precision	0.6597937941551208
recall	0.5039370059967041
auc	0.8422231078147888
prc	0.6282018423080444
