metric	value
loss	0.4380069971084595
tp	81.0
fp	86.0
tn	684.0
fn	46.0
accuracy	0.8528428077697754
precision	0.485029935836792
recall	0.6377952694892883
auc	0.863017737865448
prc	0.48651403188705444
