metric	value
loss	1.292608380317688
tp	94.0
fp	271.0
tn	498.0
fn	33.0
accuracy	0.6607142686843872
precision	0.2575342357158661
recall	0.7401574850082397
auc	0.7607333660125732
prc	0.3204807639122009
