metric	value
loss	0.4728744924068451
tp	101.0
fp	43.0
tn	686.0
fn	49.0
accuracy	0.8953356146812439
precision	0.7013888955116272
recall	0.6733333468437195
auc	0.8893919587135315
prc	0.7546060085296631
