metric	value
loss	0.3216748833656311
tp	86.0
fp	78.0
tn	691.0
fn	42.0
accuracy	0.8662207126617432
precision	0.5243902206420898
recall	0.671875
auc	0.8895227313041687
prc	0.5628372430801392
