metric	value
loss	0.27387645840644836
tp	93.0
fp	59.0
tn	710.0
fn	34.0
accuracy	0.8962053656578064
precision	0.6118420958518982
recall	0.7322834730148315
auc	0.9221200346946716
prc	0.6593315005302429
