article_id	image_file_path	is_rgb	max_ratio	num_high_ratios	proportion_high_ratio_pixels	mean_delta	euclidean_distance_metric
1	PMC_Images/1/original.jpg	0	NA	NA	NA	NA	NA
2	PMC_Images/2/original.jpg	1	2.4571613675152353	0	0	0.00304904646337702	NA
3	PMC_Images/3/original.jpg	1	16.574026650573312	254	0.4451149425287356	0.01553489254456619	20.248456731316587
4	PMC_Images/4/original.jpg	0	NA	NA	NA	NA	NA
5	PMC_Images/5/original.jpg	1	11.647038449561196	32	0.02816067653276955	0.03865404418655722	25.61249694973139
6	PMC_Images/6/original.jpg	1	11.80374723378323	43	0.04224201930215293	0.00277677507119042	20
7	PMC_Images/7/original.jpg	0	NA	NA	NA	NA	NA
8	PMC_Images/8/original.jpg	1	11.130207096219	80	0.09116293532338308	0.06345864941016498	12.972581473866176
9	PMC_Images/9/original.jpg	1	14.094726071412296	8	0.03125531093086133	0.02332088224555837	40.496913462633174
10	PMC_Images/10/original.jpg	1	11.944399785540444	47	0.14329490874159462	0.11737169188706456	23.08679276123039
11	PMC_Images/11/original.jpg	1	12.792728718526613	39	0.02295436968290796	0.06401798516160373	23.40939982143925
12	PMC_Images/12/original.jpg	1	12.578059298445472	142	0.08886986301369863	0.02366183416063792	3.605551275463989
13	PMC_Images/13/original.jpg	1	10.6041987633896	17	0.05537878787878788	0.01960392746070897	18.027756377319943
14	PMC_Images/14/original.jpg	1	14.897659823844076	66	0.02817158931082981	0.03100567642458215	13.038404810405298
15	PMC_Images/15/original.jpg	0	NA	NA	NA	NA	NA
16	PMC_Images/16/original.jpg	1	7.771163091219165	2	0.00413427561837455	0.00744221490311057	4.5
17	PMC_Images/17/original.jpg	1	13.8585319157866	91	0.03499259259259259	0.01172568640380133	21.9136522718057
18	PMC_Images/18/original.jpg	0	NA	NA	NA	NA	NA
19	PMC_Images/19/original.jpg	1	20.348485579949493	23	0.0266183574879227	0.02937062025720361	14.124169625585049
20	PMC_Images/20/original.jpg	0	NA	NA	NA	NA	NA
21	PMC_Images/21/original.jpg	1	1.4722579518153391	0	0	0.00554602476371748	NA
22	PMC_Images/22/original.jpg	1	19.56388685489027	9	0.00136132315521628	0.02189479530807004	8.06225774829855
23	PMC_Images/23/original.jpg	0	NA	NA	NA	NA	NA
24	PMC_Images/24/original.jpg	0	NA	NA	NA	NA	NA
25	PMC_Images/25/original.jpg	1	6.062329140919673	5	0.0119880418535127	0.01207014949554708	16.0312195418814
26	PMC_Images/26/original.jpg	0	NA	NA	NA	NA	NA
27	PMC_Images/27/original.jpg	1	13.68453306099482	97	0.06724537037037037	0.1178129727568418	5.41547594742265
28	PMC_Images/28/original.jpg	1	11.53747178504118	71	0.03733333333333333	0.04923750814098747	16.703185795666727
29	PMC_Images/29/original.jpg	1	4.687010644013184	0	0	0.01689857836313859	NA
30	PMC_Images/30/original.jpg	0	NA	NA	NA	NA	NA
31	PMC_Images/31/original.jpg	1	10.862828215009966	11	0.06132936507936508	0.06035810017864267	29.24036303481468
32	PMC_Images/32/original.jpg	1	1.7631894550923413	0	0	0.00504697766551242	NA
33	PMC_Images/33/original.jpg	1	14.02969713310733	12	0.02864583333333333	0.00702513750155074	8.246211251235321
34	PMC_Images/34/original.jpg	0	NA	NA	NA	NA	NA
35	PMC_Images/35/original.jpg	1	2.540179299837898	0	0	8.596409099147382e-4	NA
36	PMC_Images/36/original.jpg	0	NA	NA	NA	NA	NA
37	PMC_Images/37/original.jpg	1	10.876381579533977	3	0.04483912483912484	0.00767163801008995	39.6232255123179
38	PMC_Images/38/original.jpg	1	12.108047124704324	176	0.07093537414965986	0.04540784845734443	30.108109810054245
39	PMC_Images/39/original.jpg	1	21.118096485271657	13	0.01231023102310231	0.00859354449341375	37.82810803346692
40	PMC_Images/40/original.jpg	0	NA	NA	NA	NA	NA
41	PMC_Images/41/original.jpg	1	2.1438476901899772	0	0	0.00211583413025889	NA
42	PMC_Images/42/original.jpg	0	NA	NA	NA	NA	NA
43	PMC_Images/43/original.jpg	0	NA	NA	NA	NA	NA
44	PMC_Images/44/original.jpg	1	1.0000031475171642	0	0	0.00225465561707297	NA
45	PMC_Images/45/original.jpg	1	10.585256102244369	37	0.04605022831050228	0.04028683546896872	24.596747752497688
46	PMC_Images/46/original.jpg	1	8.40276411291148	84	0.05141542816702052	0.3336155776404963	22.80350850198276
47	PMC_Images/47/original.jpg	1	1.0203265608636518	0	0	5.973002303725687e-4	NA
48	PMC_Images/48/original.jpg	1	1.7390462415835697	0	0	0.0014064006079271	NA
49	PMC_Images/49/original.jpg	1	9.347684449734302	26	0.13852310231023102	0.04333739514482871	31.400636936215164
50	PMC_Images/50/original.jpg	1	10.14853246530018	14	0.02265183615819209	0.17024853115720315	46.84015371452148
51	PMC_Images/51/original.jpg	1	15.763162043400564	27	0.1456446540880503	0.03955870652974413	12.509213758763249
52	PMC_Images/52/original.jpg	1	9.328497360069946	6	0.01255208333333333	0.00634714426299796	17.73423764025609
53	PMC_Images/53/original.jpg	0	NA	NA	NA	NA	NA
54	PMC_Images/54/original.jpg	0	NA	NA	NA	NA	NA
55	PMC_Images/55/original.jpg	1	11.785203352531822	288	0.2359482200647249	0.3053090588655051	7.211102550927978
56	PMC_Images/56/original.jpg	1	14.749271492212038	7	0.0254040404040404	0.02756313511995143	6.082762530298219
57	PMC_Images/57/original.jpg	1	5.81181301636766	1	0.02277777777777778	0.05442785288537093	61.84658438426491
58	PMC_Images/58/original.jpg	1	10.861106943277624	43	0.07810154525386313	0.01815870941032078	57.62808613296042
59	PMC_Images/59/original.jpg	1	2.575891453041093	0	0	0.00527867448609779	NA
60	PMC_Images/60/original.jpg	1	7.743027966088892	1	3.0303030303030302e-5	0.00594138075710179	265.51459470243816
61	PMC_Images/61/original.jpg	1	9.761351342799925	21	0.01216836734693877	0.05690730083984179	20.122755647825173
62	PMC_Images/62/original.jpg	1	9.712392734723617	22	0.02245614035087719	0.01418675048788298	13.673034018261756
63	PMC_Images/63/original.jpg	1	3.887534864663766	0	0	0.02807441171903847	NA
64	PMC_Images/64/original.jpg	1	12.76183085819064	12	0.01246336996336996	0.02773956044115099	28.260186375601144
65	PMC_Images/65/original.jpg	1	4.705691363063758	0	0	0.00411687242649561	NA
66	PMC_Images/66/original.jpg	1	10.14853246530018	1	0.00544759334233018	0.00617623660281211	65.7875368135941
67	PMC_Images/67/original.jpg	0	NA	NA	NA	NA	NA
68	PMC_Images/68/original.jpg	1	12.542432254747952	136	0.5446144278606965	0.06400468787548186	18.973665961010276
69	PMC_Images/69/original.jpg	1	1	0	0	0	NA
70	PMC_Images/70/original.jpg	1	14.005826753355494	15	0.03410139992432842	0.00608958257448613	20.8806130178211
71	PMC_Images/71/original.jpg	1	6.471122306484287	1	2.0703933747412007e-5	0.01317864173180698	197.3854097951518
72	PMC_Images/72/original.jpg	1	10.266435587323532	5	0.01152380952380952	0.04866737082990577	12.16552506059644
73	PMC_Images/73/original.jpg	0	NA	NA	NA	NA	NA
74	PMC_Images/74/original.jpg	1	11.508287805526432	36	0.01447427293064877	0.02197806151458969	18.973665961010276
