DOI	TYPE	SUBJECT(S)	DATE	ARTICLE ID	VERSION
https://doi.org/10.7554/eLife.00712	research article	Biochemistry and Chemical Biology, Cell Biology	2013-07-09	00712	v1
https://doi.org/10.7554/eLife.00723	research article	Neuroscience	2013-09-03	00723	v1
https://doi.org/10.7554/eLife.00726	research article	Biochemistry and Chemical Biology, Genetics and Genomics	2013-09-03	00726	v1
https://doi.org/10.7554/eLife.00729	insight	Cell Biology, Developmental Biology	2013-04-16	00729	v1
https://doi.org/10.7554/eLife.00731	research article	Genetics and Genomics	2013-05-28	00731	v1
https://doi.org/10.7554/eLife.00736	research article	Neuroscience	2013-06-25	00736	v1
https://doi.org/10.7554/eLife.00744	research article	Cell Biology	2013-06-11	00744	v1
https://doi.org/10.7554/eLife.00745	research article	Structural Biology and Molecular Biophysics, Cell Biology	2013-06-11	00745	v1
https://doi.org/10.7554/eLife.00747	research article	Evolutionary Biology, Cancer Biology	2013-06-25	00747	v1
https://doi.org/10.7554/eLife.00750	research article	Chromosomes and Gene Expression	2013-09-24	00750	v1
https://doi.org/10.7554/eLife.00757	research article	Immunology and Inflammation, Microbiology and Infectious Disease	2013-05-14	00757	v1
https://doi.org/10.7554/eLife.00759	research article	Neuroscience	2013-09-03	00759	v1
https://doi.org/10.7554/eLife.00762	research article	Chromosomes and Gene Expression	2013-07-23	00762	v1
https://doi.org/10.7554/eLife.00767	insight	Immunology and Inflammation, Microbiology and Infectious Disease	2013-04-30	00767	v1
https://doi.org/10.7554/eLife.00768	research article	Stem Cells and Regenerative Medicine, Microbiology and Infectious Disease	2013-07-30	00768	v1
https://doi.org/10.7554/eLife.00772	research article	Cell Biology	2013-08-27	00772	v1
https://doi.org/10.7554/eLife.00776	research article	Genetics and Genomics, Plant Biology	2013-10-08	00776	v1
https://doi.org/10.7554/eLife.00778	research article	Structural Biology and Molecular Biophysics	2013-07-03	00778	v1
https://doi.org/10.7554/eLife.00780	research article	Biochemistry and Chemical Biology, Cell Biology	2013-07-30	00780	v1
https://doi.org/10.7554/eLife.00782	research article	Neuroscience	2013-07-02	00782	v1
