file_path
elife-02020-fig1-v1
elife-47611-fig6-v2
elife-02078-fig2-v1
elife-61669-fig3-v1
elife-74648-fig7-v2
elife-12115-fig2-v1
elife-56996-fig8-v2
elife-21105-fig3-v2
elife-22510-fig5-v2
elife-03949-fig2-v2
elife-43079-fig4-v1
elife-08287-fig8-v2
elife-36258-fig8-v2
elife-60581-fig7-v1
elife-05899-fig2-v2
elife-53814-fig2-v2
elife-64944-fig6-v2
elife-37623-fig5-v2
elife-12177-fig1-v2
elife-28811-fig7-v1
elife-61611-fig4-v2
elife-28662-fig8-v2
elife-32451-fig2-v1
elife-44502-fig3-v2
elife-53227-fig8-v2
elife-13308-fig2-v1
elife-19892-fig7-v1
elife-09656-fig5-v1
elife-08827-fig8-v2
elife-46756-fig5-v1
elife-28023-fig6-v1
elife-53003-fig4-v2
elife-72881-fig4-v1
elife-12880-fig2-v2
elife-23361-fig6-v2
elife-34389-fig3-v2
elife-68401-fig3-v2
elife-27396-fig4-v2
elife-16582-fig9-v2
elife-06229-fig4-v2
elife-57068-fig3-v1
elife-46003-fig8-v2
elife-59560-fig1-v1
elife-01308-fig2-v1
elife-68848-fig6-v3
elife-60595-fig6-v1
elife-03563-fig8-v2
elife-02866-fig4-v1
elife-08261-fig1-v2
elife-27364-fig4-v1
elife-33480-fig3-v2
elife-37689-fig3-v1
elife-03271-fig2-v2
elife-02481-fig2-v2
elife-02866-fig1-v1
elife-48857-fig5-v2
elife-23499-fig1-v2
elife-49872-fig2-v2
elife-69584-fig7-v2
elife-09148-fig8-v1
elife-28629-fig2-v1
elife-54993-fig4-v2
elife-00160-fig1-v1
elife-30000-fig5-v2
elife-04889-fig14-v1
elife-07635-fig7-v2
elife-35373-fig1-v1
elife-62123-fig6-v2
elife-46315-fig5-v2
elife-09623-fig3-v2
elife-02009-fig2-v2
elife-03399-fig3-v2
elife-72898-fig2-v2
elife-41093-fig5-v1
elife-03648-fig3-v2
elife-06619-fig6-v1
elife-42720-fig6-v2
elife-22537-fig7-v1
elife-66975-fig6-v2
elife-46870-fig7-v2
elife-69951-fig4-v1
elife-60608-fig2-v2
elife-45342-fig7-v2
elife-53900-fig1-v1
elife-71061-fig7-v1
