metric	value
loss	0.3693296015262604
tp	83.0
fp	84.0
tn	685.0
fn	45.0
accuracy	0.8561872839927673
precision	0.49700599908828735
recall	0.6484375
auc	0.855250358581543
prc	0.4885045289993286
