	loss	tp	fp	tn	fn	accuracy	precision	recall	auc	prc	val_loss	val_tp	val_fp	val_tn	val_fn	val_accuracy	val_precision	val_recall	val_auc	val_prc
0	0.563758909702301	307.0	541.0	1922.0	99.0	0.7769257426261902	0.3620283007621765	0.756157636642456	0.8160374164581299	0.43722790479660034	0.4258539378643036	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.7328550815582275	0.36049550771713257
1	0.4768328070640564	316.0	461.0	2002.0	90.0	0.807947039604187	0.40669241547584534	0.7783251404762268	0.8566988110542297	0.47876209020614624	0.4032871425151825	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.8011317849159241	0.44085925817489624
2	0.44789281487464905	337.0	460.0	2003.0	69.0	0.815615177154541	0.42283564805984497	0.8300492763519287	0.8726832270622253	0.5219823718070984	0.4185847342014313	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.2528216242790222	0.09041358530521393
3	0.4465806782245636	328.0	443.0	2020.0	78.0	0.8184036016464233	0.4254215359687805	0.807881772518158	0.8758412599563599	0.536931574344635	0.3763901889324188	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.8519049882888794	0.5062998533248901
4	0.4239944815635681	329.0	440.0	2023.0	77.0	0.8197978138923645	0.4278283417224884	0.8103448152542114	0.8885430097579956	0.5327103137969971	0.3696954846382141	0.0	0.0	615.0	102.0	0.857740581035614	0.0	0.0	0.8451219797134399	0.42495104670524597
5	0.41979771852493286	329.0	426.0	2037.0	77.0	0.824677586555481	0.43576160073280334	0.8103448152542114	0.8922691345214844	0.5334055423736572	0.33830368518829346	46.0	46.0	569.0	56.0	0.857740581035614	0.5	0.45098039507865906	0.8547505140304565	0.48666849732398987
6	0.4005493223667145	339.0	425.0	2038.0	67.0	0.828511655330658	0.44371727108955383	0.8349753618240356	0.9015948176383972	0.5618875026702881	0.6122955679893494	86.0	152.0	463.0	16.0	0.7656903862953186	0.3613445460796356	0.843137264251709	0.8462298512458801	0.5118694305419922
7	0.35653170943260193	347.0	372.0	2091.0	59.0	0.8497734665870667	0.48261475563049316	0.8546798229217529	0.922164261341095	0.6035888195037842	1.3178582191467285	96.0	377.0	238.0	6.0	0.46582984924316406	0.2029598355293274	0.9411764740943909	0.8539853096008301	0.48294055461883545
8	0.30351945757865906	367.0	348.0	2115.0	39.0	0.8651098012924194	0.5132867097854614	0.9039409160614014	0.9422987103462219	0.6772388219833374	0.35894086956977844	66.0	63.0	552.0	36.0	0.8619247078895569	0.5116279125213623	0.6470588445663452	0.8661326169967651	0.5149644613265991
9	0.2685975134372711	374.0	285.0	2178.0	32.0	0.8895085453987122	0.5675265789031982	0.9211822748184204	0.9536889791488647	0.7038453817367554	0.46902790665626526	77.0	97.0	518.0	25.0	0.8298465609550476	0.44252872467041016	0.7549019455909729	0.8587598204612732	0.5172795057296753
10	0.23878642916679382	379.0	273.0	2190.0	27.0	0.8954339623451233	0.5812883377075195	0.9334975481033325	0.9636001586914062	0.7649881839752197	0.5608097910881042	80.0	112.0	503.0	22.0	0.8131101727485657	0.4166666567325592	0.7843137383460999	0.8603777885437012	0.494312047958374
11	0.17663244903087616	386.0	208.0	2255.0	20.0	0.9205297827720642	0.6498316526412964	0.9507389068603516	0.9791714549064636	0.8425871133804321	0.8429958820343018	88.0	147.0	468.0	14.0	0.7754532694816589	0.3744680881500244	0.8627451062202454	0.8682687282562256	0.4984896779060364
12	0.17589199542999268	383.0	191.0	2272.0	23.0	0.9254095554351807	0.6672474145889282	0.9433497786521912	0.9782989621162415	0.8502217531204224	0.6356645822525024	68.0	64.0	551.0	34.0	0.8633193969726562	0.5151515007019043	0.6666666865348816	0.8521201610565186	0.5012915134429932
13	0.14565768837928772	392.0	165.0	2298.0	14.0	0.9376088976860046	0.7037702202796936	0.9655172228813171	0.9858277440071106	0.907070517539978	0.6049321889877319	70.0	109.0	506.0	32.0	0.8033472895622253	0.3910614550113678	0.686274528503418	0.8548939824104309	0.4935091733932495
14	0.1269053816795349	391.0	139.0	2324.0	15.0	0.9463227391242981	0.7377358675003052	0.9630541801452637	0.9899767637252808	0.9427168965339661	0.5214793086051941	62.0	63.0	552.0	40.0	0.8563458919525146	0.4959999918937683	0.6078431606292725	0.845345139503479	0.47097301483154297
15	0.10860807448625565	396.0	109.0	2354.0	10.0	0.9585221409797668	0.7841584086418152	0.9753694534301758	0.9926154017448425	0.9540436267852783	0.9751232862472534	82.0	91.0	524.0	20.0	0.8451882600784302	0.47398844361305237	0.8039215803146362	0.8594052791595459	0.4908064603805542
