metric	value
loss	0.3833657503128052
tp	41.0
fp	44.0
tn	726.0
fn	86.0
accuracy	0.8550724387168884
precision	0.48235294222831726
recall	0.32283464074134827
auc	0.7993454933166504
prc	0.407600998878479
