metric	value
loss	0.3015093207359314
tp	93.0
fp	46.0
tn	724.0
fn	34.0
accuracy	0.9108138084411621
precision	0.6690647602081299
recall	0.7322834730148315
auc	0.9206565618515015
prc	0.7552591562271118
