metric	value
loss	0.263074666261673
tp	89.0
fp	29.0
tn	741.0
fn	38.0
accuracy	0.9253065586090088
precision	0.7542372941970825
recall	0.7007874250411987
auc	0.9226863980293274
prc	0.7966219782829285
