metric	value
loss	0.5391614437103271
tp	65.0
fp	27.0
tn	743.0
fn	62.0
accuracy	0.9007803797721863
precision	0.70652174949646
recall	0.5118110179901123
auc	0.8746803998947144
prc	0.6783843636512756
