metric	value
loss	0.3232324719429016
tp	74.0
fp	70.0
tn	700.0
fn	53.0
accuracy	0.8628762364387512
precision	0.5138888955116272
recall	0.5826771855354309
auc	0.8585079908370972
prc	0.5777455568313599
