metric	value
loss	0.3230752646923065
tp	91.0
fp	64.0
tn	706.0
fn	36.0
accuracy	0.8885172605514526
precision	0.5870967507362366
recall	0.7165354490280151
auc	0.9144442081451416
prc	0.6577183604240417
