metric	value
loss	0.2307721972465515
tp	79.0
fp	22.0
tn	748.0
fn	48.0
accuracy	0.9219620823860168
precision	0.7821782231330872
recall	0.6220472455024719
auc	0.9084057211875916
prc	0.7293670177459717
