metric	value
loss	0.35534119606018066
tp	78.0
fp	36.0
tn	734.0
fn	49.0
accuracy	0.9052397012710571
precision	0.6842105388641357
recall	0.6141732335090637
auc	0.8978883624076843
prc	0.6963638067245483
